Date : 2024-07-07 13:43:39
Directory : c:\Users\mawen\Dev\GitHub\Study
Total : 468 files,  108703 codes, 1789 comments, 38510 blanks, all 149002 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Markdown         |        302 |     76,895 |          0 |     36,220 |    113,115 |
| SQL              |          2 |     14,646 |         26 |          2 |     14,674 |
| Go               |        130 |     10,783 |      1,586 |      1,346 |     13,715 |
| XML              |          1 |      2,596 |          1 |          1 |      2,598 |
| Python           |          7 |      2,276 |        118 |        816 |      3,210 |
| JavaScript       |         24 |      1,370 |         58 |        120 |      1,548 |
| Go Checksum File |          1 |        103 |          0 |          1 |        104 |
| Go Module File   |          1 |         34 |          0 |          4 |         38 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |        468 |    108,703 |      1,789 |     38,510 |    149,002 |
| . (Files)                                                                                                                   |         14 |      5,313 |          0 |      3,233 |      8,546 |
| Docker_K8S                                                                                                                  |         12 |      3,352 |          0 |      1,815 |      5,167 |
| Git                                                                                                                         |          3 |        521 |          0 |        339 |        860 |
| MySQL                                                                                                                       |         17 |      5,017 |          0 |      2,064 |      7,081 |
| MySQL (Files)                                                                                                               |          4 |      1,901 |          0 |        653 |      2,554 |
| MySQL\mysql                                                                                                                 |         13 |      3,116 |          0 |      1,411 |      4,527 |
| Python                                                                                                                      |          7 |      2,276 |        118 |        816 |      3,210 |
| Redis                                                                                                                       |         13 |      5,419 |          0 |      2,944 |      8,363 |
| Redis (Files)                                                                                                               |          3 |      2,790 |          0 |      1,726 |      4,516 |
| Redis\redis                                                                                                                 |         10 |      2,629 |          0 |      1,218 |      3,847 |
| cs-basics                                                                                                                   |         19 |      2,863 |          0 |      1,650 |      4,513 |
| cs-basics\network                                                                                                           |         15 |      1,645 |          0 |      1,023 |      2,668 |
| cs-basics\operating-system                                                                                                  |          4 |      1,218 |          0 |        627 |      1,845 |
| database                                                                                                                    |          9 |      5,372 |          0 |      1,825 |      7,197 |
| database (Files)                                                                                                            |          3 |        353 |          0 |        202 |        555 |
| database\sql                                                                                                                |          6 |      5,019 |          0 |      1,623 |      6,642 |
| elasticsearch                                                                                                               |         30 |      4,864 |         82 |      2,030 |      6,976 |
| elasticsearch (Files)                                                                                                       |          4 |        492 |          0 |         84 |        576 |
| elasticsearch\study                                                                                                         |         22 |      3,747 |         82 |      1,360 |      5,189 |
| elasticsearch\study (Files)                                                                                                 |          1 |        561 |          0 |        159 |        720 |
| elasticsearch\study\exercise                                                                                                |          3 |        288 |         74 |         41 |        403 |
| elasticsearch\study\search                                                                                                  |          1 |        141 |          8 |         18 |        167 |
| elasticsearch\study\♥ElasticSearch知识体系详解♥                                                                                   |         11 |      1,976 |          0 |      1,042 |      3,018 |
| elasticsearch\study\各种查询的golang实现                                                                                           |          6 |        781 |          0 |        100 |        881 |
| elasticsearch\场景                                                                                                            |          3 |        330 |          0 |        283 |        613 |
| elasticsearch\面经                                                                                                            |          1 |        295 |          0 |        303 |        598 |
| img                                                                                                                         |          1 |      2,596 |          1 |          1 |      2,598 |
| java                                                                                                                        |         65 |     21,380 |          0 |      7,798 |     29,178 |
| java\basis                                                                                                                  |         13 |      4,611 |          0 |      1,684 |      6,295 |
| java\collection                                                                                                             |         12 |      4,958 |          0 |      1,296 |      6,254 |
| java\concurrent                                                                                                             |         14 |      5,919 |          0 |      2,237 |      8,156 |
| java\io                                                                                                                     |          4 |      1,010 |          0 |        387 |      1,397 |
| java\jvm                                                                                                                    |          9 |      1,807 |          0 |        966 |      2,773 |
| java\new-features                                                                                                           |         13 |      3,075 |          0 |      1,228 |      4,303 |
| linux                                                                                                                       |         13 |      3,761 |          0 |      1,247 |      5,008 |
| linux (Files)                                                                                                               |          4 |      1,107 |          0 |        451 |      1,558 |
| linux\linux速查                                                                                                               |          2 |        269 |          0 |         38 |        307 |
| linux\study                                                                                                                 |          7 |      2,385 |          0 |        758 |      3,143 |
| mongodb                                                                                                                     |          2 |        394 |          0 |        226 |        620 |
| project                                                                                                                     |        184 |     31,623 |      1,588 |      3,504 |     36,715 |
| project\data-sync                                                                                                           |        105 |     23,130 |      1,296 |        977 |     25,403 |
| project\data-sync (Files)                                                                                                   |          1 |          3 |        164 |         57 |        224 |
| project\data-sync\mongo-to-mysql                                                                                            |         89 |      7,252 |        875 |        753 |      8,880 |
| project\data-sync\mongo-to-mysql (Files)                                                                                    |          1 |         64 |          3 |         13 |         80 |
| project\data-sync\mongo-to-mysql\ad_conf_centre                                                                             |         16 |      1,492 |        183 |        115 |      1,790 |
| project\data-sync\mongo-to-mysql\ad_conf_centre (Files)                                                                     |          7 |        814 |        140 |         71 |      1,025 |
| project\data-sync\mongo-to-mysql\ad_conf_centre\bean                                                                        |          3 |        371 |         17 |         30 |        418 |
| project\data-sync\mongo-to-mysql\ad_conf_centre\node                                                                        |          6 |        307 |         26 |         14 |        347 |
| project\data-sync\mongo-to-mysql\ad_material                                                                                |          8 |        616 |         75 |         71 |        762 |
| project\data-sync\mongo-to-mysql\ad_material (Files)                                                                        |          5 |        376 |         62 |         48 |        486 |
| project\data-sync\mongo-to-mysql\ad_material\bean                                                                           |          2 |        182 |         12 |         17 |        211 |
| project\data-sync\mongo-to-mysql\ad_material\node                                                                           |          1 |         58 |          1 |          6 |         65 |
| project\data-sync\mongo-to-mysql\ad_preview                                                                                 |         14 |      1,143 |         64 |         89 |      1,296 |
| project\data-sync\mongo-to-mysql\ad_preview (Files)                                                                         |          1 |         84 |         19 |          7 |        110 |
| project\data-sync\mongo-to-mysql\ad_preview\adflow                                                                          |          4 |        172 |         12 |         21 |        205 |
| project\data-sync\mongo-to-mysql\ad_preview\bean                                                                            |          3 |        406 |         22 |         26 |        454 |
| project\data-sync\mongo-to-mysql\ad_preview\fb                                                                              |          6 |        481 |         11 |         35 |        527 |
| project\data-sync\mongo-to-mysql\art_asset                                                                                  |         13 |        918 |         95 |        112 |      1,125 |
| project\data-sync\mongo-to-mysql\art_asset (Files)                                                                          |          5 |        382 |         66 |         47 |        495 |
| project\data-sync\mongo-to-mysql\art_asset\bean                                                                             |          2 |        222 |         21 |         26 |        269 |
| project\data-sync\mongo-to-mysql\art_asset\node                                                                             |          6 |        314 |          8 |         39 |        361 |
| project\data-sync\mongo-to-mysql\art_need                                                                                   |         14 |        928 |        139 |        126 |      1,193 |
| project\data-sync\mongo-to-mysql\bi_data                                                                                    |          1 |         69 |         10 |         10 |         89 |
| project\data-sync\mongo-to-mysql\remote-config                                                                              |          1 |        152 |         13 |         14 |        179 |
| project\data-sync\mongo-to-mysql\sdk_release                                                                                |          7 |        455 |         42 |         49 |        546 |
| project\data-sync\mongo-to-mysql\user_console                                                                               |          8 |        747 |        116 |         69 |        932 |
| project\data-sync\mongo-to-mysql\user_console (Files)                                                                       |          4 |        379 |        107 |         49 |        535 |
| project\data-sync\mongo-to-mysql\user_console\bean                                                                          |          3 |        330 |          9 |         15 |        354 |
| project\data-sync\mongo-to-mysql\user_console\node                                                                          |          1 |         38 |          0 |          5 |         43 |
| project\data-sync\mongo-to-mysql\version-console                                                                            |          6 |        668 |        135 |         85 |        888 |
| project\data-sync\mysql-to-mysql                                                                                            |         11 |     15,539 |        121 |         94 |     15,754 |
| project\data-sync\mysql-to-mysql (Files)                                                                                    |          7 |        535 |         51 |         65 |        651 |
| project\data-sync\mysql-to-mysql\ad_material                                                                                |          4 |     15,004 |         70 |         29 |     15,103 |
| project\data-sync\postgreSQL-to-mysql                                                                                       |          4 |        336 |        136 |         73 |        545 |
| project\data-sync\postgreSQL-to-mysql\bi-console                                                                            |          4 |        336 |        136 |         73 |        545 |
| project\业务                                                                                                                  |         51 |      4,919 |        292 |        601 |      5,812 |
